2023-52-18		09:52:21	 3d50f760-b72e-4e69-baea-6b8e90e7d49c	GET	/new-pag	undefined2023-52-18		09:52:21	 1fd5be96-997c-4e81-b309-90a1f9af624c	GET	/favicon.ico	undefined2023-53-18		09:53:16	 30de4c7b-7d08-40ce-a958-db51fbc919f2	OPTIONS	/	https://www.google.com2023-53-18		09:53:16	 10cbc84f-c184-40ac-ad33-7a47a65d5f57	GET	/	https://www.google.com2023-57-18		09:57:52	 c75b3973-c681-4cb3-8c32-77108a11af30	OPTIONS	/	https://www.google.com2023-57-18		09:57:52	 f44b5584-1d62-4adc-8a14-407107dfb02b	GET	/	https://www.google.com2023-27-18		10:27:52	 6e79af79-11a4-4660-b258-acb56043fda5	OPTIONS	/	https://www.google.com2023-27-18		10:27:52	 5433a15d-7d5e-49e8-8859-043d91f275ec	GET	/	https://www.google.com2023-29-18		10:29:20	 2596f785-8b62-466f-9205-1e7d0d3df21c	OPTIONS	/	https://www.google.com2023-29-18		10:29:20	 48188690-bbf3-488f-aa5f-debfaeab5c73	GET	/	https://www.google.com2023-39-18		10:39:24	 3dc19a07-8c12-4352-90ce-6973b4f972a6	GET	/	undefined2023-39-18		10:39:24	 291db06c-e011-44b7-9c09-c903d46ff319	GET	/css/style.css	undefined2023-39-18		10:39:25	 85383ebd-92db-4af9-a284-0c43782e634c	GET	/favicon.ico	undefined2023-55-18		10:55:07	 b2f68692-ac68-4a25-956a-e8cf44c15c06	GET	/new-page	undefined2023-55-18		10:55:07	 3e18cdbf-69ac-472d-8473-b2bb82360224	GET	/img/pexels-photo-10112958.jpeg	undefined2023-55-18		10:55:07	 304c9104-8267-4e77-a31d-0a90e9dca156	GET	/css/style.css	undefined2023-55-18		10:55:07	 15570725-5a9b-4d17-96d2-3bba481cab4f	GET	/img/pexels-photo-1915715.jpeg	undefined2023-55-18		10:55:07	 cc612016-ed47-40c7-8fdd-e7f317ee3e20	GET	/favicon.ico	undefined2023-55-18		10:55:12	 c9fefe43-47e0-4a95-91e3-42e2c67eba80	GET	/new-pag	undefined2023-55-18		10:55:12	 41a6c1b2-4bc2-4c66-98ae-390d8913e528	GET	/favicon.ico	undefined2023-02-18		11:02:59	 232d999f-9b35-4771-8c35-76c197ea1471	OPTIONS	/	https://www.google.com2023-02-18		11:02:59	 51e6b48a-f982-4fbc-84ee-09ea7a86df1c	GET	/	https://www.google.com2023-07-18		11:07:51	 44ac7ee1-8ab0-42c9-8545-28beafaa0432	OPTIONS	/	https://www.google.com2023-07-18		11:07:52	 40e85f77-68aa-489c-a8e1-73e5d7e43858	GET	/	https://www.google.com2023-10-18		11:10:40	 a153ba27-c242-47c1-a2c3-1c86e737e8a2	OPTIONS	/	https://www.google.com2023-10-18		11:10:40	 53a205b8-43ab-42a3-b733-a7215d8cba62	GET	/	https://www.google.com2023-14-18		11:14:24	 d865fb7c-8b91-4843-a5bc-5ce1cbf812cb	OPTIONS	/	https://www.google.com2023-14-18		11:14:24	 afb590a7-aa05-457c-9e89-c1a5e9fe5361	GET	/	https://www.google.com2023-18-18		11:18:00	 3ce3a948-fa27-4d9d-a4b0-c504f8207378	OPTIONS	/	https://www.google.com2023-18-18		11:18:00	 70d458dc-634d-4fcb-81b1-84f6f2cd6543	GET	/	https://www.google.com2023-45-18		11:45:04	 1556c15b-7d9c-439b-b68f-864d4b35bdd7	OPTIONS	/	https://www.google.com
2023-45-18		11:45:04	 15d0aa7a-0d09-41cb-93e4-b58cae502c4e	GET	/	https://www.google.com
2023-48-18		12:48:53	 2c713a33-a2fe-478d-aacf-965bd3d3a86a	GET	/subdir	undefined
2023-49-18		12:49:20	 42906d20-8dbe-4513-b387-34fa73fec844	GET	/subdir	undefined
2023-49-18		12:49:25	 59a3530c-e40e-48ef-8ecf-47ef519b1844	GET	/subdir/index	undefined
2023-49-18		12:49:30	 bfa7739f-1b49-42ec-b6c8-7833357a8577	GET	/subdir	undefined
2023-49-18		12:49:31	 0b2203b6-aea1-4723-884d-0a43bb85b4a5	GET	/	undefined
2023-49-18		12:49:31	 0ac8e0d4-1bf4-467e-94bf-5ef991c120bc	GET	/css/style.css	undefined
2023-49-18		12:49:37	 2060dd15-da76-4aeb-afca-108d96757be3	GET	/new-page	undefined
2023-49-18		12:49:37	 77cddce7-ab12-438a-bd0e-aed808290386	GET	/css/style.css	undefined
2023-49-18		12:49:37	 d54917d4-5678-4111-b6a6-db571c7989c0	GET	/img/pexels-photo-10112958.jpeg	undefined
2023-49-18		12:49:37	 41c83b48-d09a-4de6-98e9-f93c5ad53932	GET	/img/pexels-photo-1915715.jpeg	undefined
2023-49-18		12:49:44	 5dbafff2-bc93-453e-b380-a72cdc20f279	GET	/index	undefined
2023-49-18		12:49:44	 dfa1a2f5-d94e-457b-b4ec-bb7cdda7ba16	GET	/css/style.css	undefined
2023-49-18		12:49:48	 53c7d601-0062-4062-ad58-5047ba5ed6cf	GET	/	undefined
2023-49-18		12:49:48	 4b197475-52fd-479b-95ff-8e8dbc0289b1	GET	/css/style.css	undefined
2023-49-18		12:49:59	 fde974a9-70da-40fd-8401-1a4a5fc52032	GET	/subdir	undefined
2023-50-18		12:50:00	 5cad4f46-d531-42be-b195-676fbc735329	GET	/subdir	undefined
2023-51-18		12:51:44	 e2941bd1-d5ba-4c3c-9790-0e063454edd9	GET	/subdir	undefined
2023-51-18		12:51:49	 1a2aa1df-1633-442d-ad02-120c07ec6137	GET	/	undefined
2023-51-18		12:51:49	 caa93212-7ca6-4125-b52a-6ae217060162	GET	/css/style.css	undefined
2023-52-18		12:52:31	 477bc6ee-3ac7-44a0-bc83-ffdc33739f51	GET	/	undefined
2023-52-18		12:52:31	 110ecf7b-90f1-4000-ad4a-de13d7ab7377	GET	/css/style.css	undefined
2023-52-18		12:52:44	 d3ee719b-a6ee-467a-bdc3-80f900fec984	GET	/subdir	undefined
2023-52-18		12:52:45	 4667eadd-033f-43d8-bbf5-45304de4087c	GET	/subdir	undefined
2023-54-18		12:54:22	 d640b7f9-8df6-459a-8f96-4abc189a73fb	GET	/subdir	undefined
2023-54-18		12:54:30	 e94b3169-a86f-41d8-86cb-ec939989bca0	GET	/	undefined
2023-54-18		12:54:30	 321d2e83-1dd7-4f29-bf12-29d7f92210e3	GET	/css/style.css	undefined
2023-54-18		12:54:52	 3cfd3a77-3a60-406e-92c0-ba186744717f	GET	/subdir	undefined
2023-54-18		12:54:52	 7f09107c-b7fb-4a63-9ef0-2c21f287b874	GET	/subdir	undefined
2023-55-18		12:55:17	 caef7543-de06-4fa4-a6b3-4fa9fb80f84e	GET	/subdir	undefined
2023-55-18		12:55:17	 9addc7e5-d8a0-41fe-873e-8a349b349b22	GET	/css/style.css	undefined
2023-57-18		06:57:29	 c6a20053-3328-4f58-a0ee-4a68bcac42c5	GET	/	undefined
2023-57-18		06:57:29	 c51ca14c-4d9f-4059-9d63-d6f7d860fccc	GET	/css/style.css	undefined
2023-57-18		06:57:29	 5ccd0147-b9c4-4c9c-914c-ed4ed26c3e5e	GET	/favicon.ico	undefined
2023-22-18		07:22:41	 268f0e26-094b-4acb-bb6c-bc9fcb8d7a3d	GET	/	undefined
2023-22-18		07:22:41	 8ee3f764-7292-475b-8388-9dc8a9b0a709	GET	/css/style.css	undefined
2023-10-18		08:10:12	 b92f23c0-ae07-49d0-986d-4e9420c7e7c4	GET	/	undefined
2023-10-18		08:10:12	 0905209b-a07b-45d1-8a0f-b020234d471e	GET	/css/style.css	undefined
2023-10-18		08:10:12	 00324723-bfd7-4079-8457-2c9707a5ca5f	GET	/favicon.ico	undefined
2023-10-18		08:10:23	 9627273f-d155-4d1c-a9a1-df2dcb2bc915	GET	/old-page	undefined
